WO#,Title,Status,Type,Silo/Lane,Stage,Owner,SpecPath,ResultPath,Notes
34,World Map Expansion Mobile,Spec,feature,,,,WorkOrders/WORK_ORDER_34_world_map_expansion_mobile.md,,spec Status: ARCHITECTURE / DESIGN SPEC - Implement in Week 8+
35,Knight Coloring Wrong,Ready,fix,,,,WorkOrders/WORK_ORDER_35_knight_coloring_wrong.md,,spec Status: READY TO IMPLEMENT
36,Hero Actions Skill Tree Binding,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_36_hero_actions_skill_tree_binding.md,WorkOrders/WORK_ORDER_36_hero_actions_skill_tree_binding.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
37,Hero Attack Vfx And Sound Overhaul,Ready,feature,,,,WorkOrders/WORK_ORDER_37_hero_attack_vfx_and_sound_overhaul.md,,spec Status: READY TO IMPLEMENT - Creative spec + code targets
38,Wave Complete Celebration And Repair,Ready,fix,,,,WorkOrders/WORK_ORDER_38_wave_complete_celebration_and_repair.md,,spec Status: READY TO IMPLEMENT
39,Compass Enemy Direction Indicator,Ready,feature,,,,WorkOrders/WORK_ORDER_39_compass_enemy_direction_indicator.md,,spec Status: READY TO IMPLEMENT
40,Wave Imminent Flash And Vibration,Ready,feature,,,,WorkOrders/WORK_ORDER_40_wave_imminent_flash_and_vibration.md,,spec Status: READY TO IMPLEMENT
41,Cross Assembly Interface Refactor,Ready,feature,,,,WorkOrders/WORK_ORDER_41_cross_assembly_interface_refactor.md,,spec Status: READY TO IMPLEMENT
42,Hero Select Screen Redesign,Ready,feature,,,,WorkOrders/WORK_ORDER_42_hero_select_screen_redesign.md,,spec Status: READY TO IMPLEMENT
43,Jupiter Swap Panel Superseded,Ready,feature,,,,WorkOrders/WORK_ORDER_43_jupiter_swap_panel_SUPERSEDED.md,,spec Status: READY TO IMPLEMENT
43,Jupiter Swap Panel Phase1,Ready,feature,,,,WorkOrders/WORK_ORDER_43_jupiter_swap_panel_phase1.md,,spec Status: READY TO IMPLEMENT
44,Jupiter Quote Integration Phase2,Ready,feature,,,,WorkOrders/WORK_ORDER_44_jupiter_quote_integration_phase2.md,,spec Status: READY TO IMPLEMENT
45,Jupiter Swap Execution Phase3,Ready,feature,,,,WorkOrders/WORK_ORDER_45_jupiter_swap_execution_phase3.md,,spec Status: READY TO IMPLEMENT
46,Defend The Tower Refinement,Done,fix,,,,WorkOrders/WORK_ORDER_46_defend_the_tower_refinement.md,,spec Status: CLOSED - **SUPERSEDED** (system removed 2026-06-09)
46,Tower Combat,Ready,docs,,,,WorkOrders/WORK_ORDER_46_tower_combat.md,,spec Status: READY TO IMPLEMENT
47,Patricia Light,Done,docs,,,,WorkOrders/WORK_ORDER_47_patricia_light.md,,spec Status: CLOSED - **SUPERSEDED** (system removed 2026-06-09)
48,Tower Core Loop,Done,feature,,,,WorkOrders/WORK_ORDER_48_tower_core_loop.md,,spec Status: CLOSED - SUPERSEDED (system removed 2026-06-09)
49,Enemy Ai Fix,Ready,fix,,,,WorkOrders/WORK_ORDER_49_enemy_ai_fix.md,,spec Status: READY TO IMPLEMENT
50,Vfx Manager,Ready,docs,,,,WorkOrders/WORK_ORDER_50_vfx_manager.md,,spec Status: READY TO IMPLEMENT
51,Mobile Performance,Ready,feature,,,,WorkOrders/WORK_ORDER_51_mobile_performance.md,,spec Status: READY TO IMPLEMENT
52,Weather Manager,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_52_weather_manager.md,WorkOrders/WORK_ORDER_52_weather_manager.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
53,Animator Culling,Ready,feature,,,,WorkOrders/WORK_ORDER_53_animator_culling.md,,spec Status: READY TO IMPLEMENT
54,Lod Setup,Ready,feature,,,,WorkOrders/WORK_ORDER_54_lod_setup.md,,spec Status: READY TO IMPLEMENT
55,Torch Fire Polish,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_55_torch_fire_polish.md,WorkOrders/WORK_ORDER_55_torch_fire_polish.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
56,Vfxmanager Integration,Ready,docs,,,,WorkOrders/WORK_ORDER_56_vfxmanager_integration.md,,spec Status: READY TO IMPLEMENT
57,Mobile Quality Settings,Ready,feature,,,,WorkOrders/WORK_ORDER_57_mobile_quality_settings.md,,spec Status: READY TO IMPLEMENT
58,Pet Aura System,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_58_pet_aura_system.md,WorkOrders/WORK_ORDER_58_pet_aura_system.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
59,Dungeon Vfx,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_59_dungeon_vfx.md,WorkOrders/WORK_ORDER_59_dungeon_vfx.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
60,Wave Clear Celebration,Ready,docs,,,,WorkOrders/WORK_ORDER_60_wave_clear_celebration.md,,spec Status: READY TO IMPLEMENT
61,Ground Decals Hit Polish,Ready,feature,,,,WorkOrders/WORK_ORDER_61_ground_decals_hit_polish.md,,spec Status: READY TO IMPLEMENT
62,Audio Integration,Ready,feature,,,,WorkOrders/WORK_ORDER_62_audio_integration.md,,spec Status: READY TO IMPLEMENT
63,Levelup Celebration,Ready,feature,,,,WorkOrders/WORK_ORDER_63_levelup_celebration.md,,spec Status: READY TO IMPLEMENT
64,Master Quality Controller,Ready,feature,,,,WorkOrders/WORK_ORDER_64_master_quality_controller.md,,spec Status: READY TO IMPLEMENT
65,Portal Vfx,Ready,feature,,,,WorkOrders/WORK_ORDER_65_portal_vfx.md,,spec Status: READY TO IMPLEMENT
66,Boss Vfx,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_66_boss_vfx.md,WorkOrders/WORK_ORDER_66_boss_vfx.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
67,Master Integration Checklist,Ready,fix,,,,WorkOrders/WORK_ORDER_67_master_integration_checklist.md,,spec Status: READY TO IMPLEMENT
68,Atb System Fix,Ready,fix,,,,WorkOrders/WORK_ORDER_68_atb_system_fix.md,,spec Status: READY TO IMPLEMENT
69,Enemy Pet Combat Overhaul,Ready,docs,,,,WorkOrders/WORK_ORDER_69_enemy_pet_combat_overhaul.md,,spec Status: READY TO IMPLEMENT
70,Final Combat System,Ready,feature,,,,WorkOrders/WORK_ORDER_70_final_combat_system.md,,spec Status: READY TO IMPLEMENT
71,World Implementation Polish,Ready,feature,,,,WorkOrders/WORK_ORDER_71_world_implementation_polish.md,,spec Status: READY TO IMPLEMENT
72,Monetization Strategy,Ready,feature,,,,WorkOrders/WORK_ORDER_72_monetization_strategy.md,,spec Status: READY TO IMPLEMENT
73,Shop Ui Battle Pass,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_73_shop_ui_battle_pass.md,WorkOrders/WORK_ORDER_73_shop_ui_battle_pass.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
74,Solana Crypto Payments,Ready,feature,,,,WorkOrders/WORK_ORDER_74_solana_crypto_payments.md,,spec Status: READY TO IMPLEMENT
75,Shop Ui Crypto Tabs,Ready,feature,,,,WorkOrders/WORK_ORDER_75_shop_ui_crypto_tabs.md,,spec Status: READY TO IMPLEMENT
76,Staked Skr Bonus,Ready,feature,,,,WorkOrders/WORK_ORDER_76_staked_skr_bonus.md,,spec Status: READY TO IMPLEMENT
77,Staking Full Integration,Ready,feature,,,,WorkOrders/WORK_ORDER_77_staking_full_integration.md,,spec Status: READY TO IMPLEMENT
78,Tx Verification Staking Dashboard,Ready,feature,,,,WorkOrders/WORK_ORDER_78_tx_verification_staking_dashboard.md,,spec Status: READY TO IMPLEMENT
79,Management War Room,Ready,feature,,,,WorkOrders/WORK_ORDER_79_management_war_room.md,,spec Status: READY TO IMPLEMENT
80,Vercel Neon Backend,Ready,feature,,,,WorkOrders/WORK_ORDER_80_vercel_neon_backend.md,,spec Status: READY TO IMPLEMENT
81,Hero Combat Overhaul,Ready,feature,,,,WorkOrders/WORK_ORDER_81_hero_combat_overhaul.md,,spec Status: READY TO IMPLEMENT
82,Tower Power Pass,Ready,feature,,,,WorkOrders/WORK_ORDER_82_tower_power_pass.md,,spec Status: READY TO IMPLEMENT
83,Wave Clear Kill Combo,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_83_wave_clear_kill_combo.md,WorkOrders/WORK_ORDER_83_wave_clear_kill_combo.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
84,Enemy Death Hit Reactions,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_84_enemy_death_hit_reactions.md,WorkOrders/WORK_ORDER_84_enemy_death_hit_reactions.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
85,World Atmosphere Immersion,Ready,feature,,,,WorkOrders/WORK_ORDER_85_world_atmosphere_immersion.md,,spec Status: READY TO IMPLEMENT
86,Scriptableobject Data Architecture,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_86_scriptableobject_data_architecture.md,WorkOrders/WORK_ORDER_86_scriptableobject_data_architecture.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
87,Cinemachine Camera,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_87_cinemachine_camera.md,WorkOrders/WORK_ORDER_87_cinemachine_camera.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
88,Itemdata Object Spawner,Ready,feature,,,,WorkOrders/WORK_ORDER_88_itemdata_object_spawner.md,,spec Status: READY TO IMPLEMENT
89,Fix Salve Heal,Ready,fix,,,,WorkOrders/WORK_ORDER_89_fix_salve_heal.md,,spec Status: BUG FIX - READY TO IMPLEMENT
90,Fix Heart Tree Zero Damage,Ready,fix,,,,WorkOrders/WORK_ORDER_90_fix_heart_tree_zero_damage.md,,spec Status: BUG FIX - READY TO IMPLEMENT
91,Fix Countdown World Scale,Ready,fix,,,,WorkOrders/WORK_ORDER_91_fix_countdown_world_scale.md,,spec Status: BUG FIX - READY TO IMPLEMENT
92,Fix Enemy Targeting,Ready,fix,,,,WorkOrders/WORK_ORDER_92_fix_enemy_targeting.md,,spec Status: BUG FIX - READY TO IMPLEMENT
93,Fix Atb Combat Scene,Ready,fix,,,,WorkOrders/WORK_ORDER_93_fix_atb_combat_scene.md,,spec Status: BUG FIX - READY TO IMPLEMENT
94,Fix Skeleton Placeholder Battle Loop,Ready,fix,,,,WorkOrders/WORK_ORDER_94_fix_skeleton_placeholder_battle_loop.md,,spec Status: BUG FIX - READY TO IMPLEMENT
95,Last Stand Ambiance Respawn,Ready,fix,,,,WorkOrders/WORK_ORDER_95_last_stand_ambiance_respawn.md,,spec Status: BUG FIX - READY TO IMPLEMENT
96,Defend Tower Scene,Done,fix,,,,WorkOrders/WORK_ORDER_96_defend_tower_scene.md,,spec Status: CLOSED - **SUPERSEDED** (system removed 2026-06-09)
97,Village Scene Polish,Spec,fix,,,,WorkOrders/WORK_ORDER_97_village_scene_polish.md,,spec Status: PARTIALLY OBSOLETE - review before implementation
98,Mending Salve Heals Tower,Done,feature,,,,WorkOrders/WORK_ORDER_98_mending_salve_heals_tower.md,,spec Status: CLOSED - **SUPERSEDED** (system removed 2026-06-09)
99,Defend Tower Enemy Pills Tower Asset,Done,feature,,,,WorkOrders/WORK_ORDER_99_defend_tower_enemy_pills_tower_asset.md,,spec Status: CLOSED - **SUPERSEDED** (system removed 2026-06-09)
100,Defend Tower Camera Targeting,Done,fix,,,,WorkOrders/WORK_ORDER_100_defend_tower_camera_targeting.md,,spec Status: CLOSED - **SUPERSEDED** (system removed 2026-06-09)
101,Village Redesign Polyperfect,Ready,docs,,,,WorkOrders/WORK_ORDER_101_village_redesign_polyperfect.md,,spec Status: READY TO IMPLEMENT
102,Village Bug Cluster,Ready,fix,,,,WorkOrders/WORK_ORDER_102_village_bug_cluster.md,,spec Status: READY TO IMPLEMENT
103,Village Rebake,Ready,fix,,,,WorkOrders/WORK_ORDER_103_village_rebake.md,,spec Status: READY TO IMPLEMENT
104,Castle Fortification Moat,Ready,feature,,,,WorkOrders/WORK_ORDER_104_castle_fortification_moat.md,,spec Status: READY TO IMPLEMENT
105,Villagescenebuilder Restore And Reland,Ready,feature,,,,WorkOrders/WORK_ORDER_105_villagescenebuilder_restore_and_reland.md,,spec Status: READY TO IMPLEMENT - CLI priority
106,Pet Resource Farming Outpost,RESULT-filed,docs,,,,WorkOrders/WORK_ORDER_106_pet_resource_farming_outpost.md,WorkOrders/WORK_ORDER_106_pet_resource_farming_outpost.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
106,Xp Level Progress Hud,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_106_xp_level_progress_hud.md,WorkOrders/WORK_ORDER_106_xp_level_progress_hud.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
107,Climate Regions Terrain,Ready,docs,,,,WorkOrders/WORK_ORDER_107_climate_regions_terrain.md,,spec Status: READY TO IMPLEMENT
107,Village Castle Overhaul,Ready,docs,,,,WorkOrders/WORK_ORDER_107_village_castle_overhaul.md,,spec Status: READY TO IMPLEMENT
108,Castle World Overhaul,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_108_Castle_World_Overhaul.md,WorkOrders/WORK_ORDER_108_player_build_mode.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
108,Player Build Mode,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_108_player_build_mode.md,WorkOrders/WORK_ORDER_108_player_build_mode.RESULT.md,RESULT filed; spec Status:  READY TO IMPLEMENT - **TOP PRIORITY after the playtest regressions (WO-166)
109,Npc Dialogue Equip Crafting,Ready,feature,,,,WorkOrders/WORK_ORDER_109_npc_dialogue_equip_crafting.md,,spec Status: READY TO IMPLEMENT
109,Rampart Level Wall Towers,Ready,feature,,,,WorkOrders/WORK_ORDER_109_rampart_level_wall_towers.md,,spec Status: READY TO IMPLEMENT
110,Siege Warfare Trebuchet,Ready,feature,,,,WorkOrders/WORK_ORDER_110_siege_warfare_trebuchet.md,,spec Status: READY TO IMPLEMENT
110,Yarn Blue Button Mobile Hud,Ready,fix,,,,WorkOrders/WORK_ORDER_110_yarn_blue_button_mobile_hud.md,,spec Status: READY TO IMPLEMENT
110,Yarn Hud Fix,Ready,fix,,,,WorkOrders/WORK_ORDER_110_yarn_hud_fix.md,,spec Status: READY TO IMPLEMENT
111,Audio Boss Outposts,Ready,feature,,,,WorkOrders/WORK_ORDER_111_Audio_Boss_Outposts.md,,spec Status: READY TO IMPLEMENT
111,World Resource Collection Pillar,Ready,feature,,,,WorkOrders/WORK_ORDER_111_world_resource_collection_pillar.md,,"spec Status: DESIGN - owner vision captured 2026-05-29, ready to phase"
112,Ward Tether Exploration,Ready,fix,,,,WorkOrders/WORK_ORDER_112_ward_tether_exploration.md,,spec Status: READY TO IMPLEMENT
113,Arcane Tower Buildable,Ready,fix,,,,WorkOrders/WORK_ORDER_113_arcane_tower_buildable.md,,spec Status: READY TO IMPLEMENT
114,Wall Upgrade Tiers,Ready,feature,,,,WorkOrders/WORK_ORDER_114_wall_upgrade_tiers.md,,spec Status: READY TO IMPLEMENT
115,Offline Harvest Accrual,Ready,docs,,,,WorkOrders/WORK_ORDER_115_offline_harvest_accrual.md,,spec Status: READY TO IMPLEMENT
116,Npc Dialogue Bark System,Ready,feature,,,,WorkOrders/WORK_ORDER_116_npc_dialogue_bark_system.md,,spec Status: READY TO IMPLEMENT
117,Worker Dispatch Autocollect,Ready,feature,,,,WorkOrders/WORK_ORDER_117_worker_dispatch_autocollect.md,,spec Status: READY TO IMPLEMENT - **Phase 1 is the immediate CLI target (SUNDAY deadline)
118,Rewarded Ads Route,Ready,docs,,,,WorkOrders/WORK_ORDER_118_rewarded_ads_route.md,,spec Status: READY TO IMPLEMENT
119,Pet Auto Harvest,Ready,feature,,,,WorkOrders/WORK_ORDER_119_pet_auto_harvest.md,,spec Status: READY TO IMPLEMENT
120,Backend Spec Reconciliation,Ready,docs,,,,WorkOrders/WORK_ORDER_120_backend_spec_reconciliation.md,,spec Status: READY TO IMPLEMENT
121,Metrics Analytics Dashboard,Ready,feature,,,,WorkOrders/WORK_ORDER_121_metrics_analytics_dashboard.md,,spec Status: READY TO SPEC-REVIEW
122,Crystal Mine Site,Ready,feature,,,,WorkOrders/WORK_ORDER_122_crystal_mine_site.md,,spec Status: READY TO IMPLEMENT - CLI lane (held until green tree)
123,Webgl Build Tester Hosting,Ready,feature,,,,WorkOrders/WORK_ORDER_123_webgl_build_tester_hosting.md,,spec Status: READY - overnight CLI (build) + script-relay (hosting)
124,Resource Hud,Ready,feature,,,,WorkOrders/WORK_ORDER_124_resource_hud.md,,spec Status: READY TO IMPLEMENT
125,P0 Combat Bugs Dragon Heartfall,Ready,fix,,,,WorkOrders/WORK_ORDER_125_p0_combat_bugs_dragon_heartfall.md,,spec Status: READY TO IMPLEMENT
126,Scene Material Bugs,Ready,fix,,,,WorkOrders/WORK_ORDER_126_scene_material_bugs.md,,spec Status: READY TO IMPLEMENT
127,Tower Manage Ui Desync,Ready,fix,,,,WorkOrders/WORK_ORDER_127_tower_manage_ui_desync.md,,spec Status: READY TO IMPLEMENT
128,Pet Anti Ranged Ability,Ready,feature,,,,WorkOrders/WORK_ORDER_128_pet_anti_ranged_ability.md,,spec Status: READY TO IMPLEMENT
129,Leaderboard Profile Social,Ready,feature,,,,WorkOrders/WORK_ORDER_129_leaderboard_profile_social.md,,spec Status: READY TO IMPLEMENT (design / user-story stage)
129,Pipeline Architecture Reconciliation,Ready,docs,,,,WorkOrders/WORK_ORDER_129_pipeline_architecture_reconciliation.md,,spec Status: READY - UI (planning/reconciliation pass; NOT a coding pass yet)
130,Atb Pills And Broken Loop,Ready,fix,,,,WorkOrders/WORK_ORDER_130_atb_pills_and_broken_loop.md,,spec Status: READY TO IMPLEMENT
131,Economy Wallet Unification,Ready,docs,,,,WorkOrders/WORK_ORDER_131_economy_wallet_unification.md,,spec Status: READY TO IMPLEMENT
132,Hero Health Lose Condition,Ready,docs,,,,WorkOrders/WORK_ORDER_132_hero_health_lose_condition.md,,spec Status: READY TO IMPLEMENT
133,Onboarding Ftue Wiring,Ready,docs,,,,WorkOrders/WORK_ORDER_133_onboarding_ftue_wiring.md,,spec Status: READY TO IMPLEMENT
134,Input Hud Reward Consistency,Ready,fix,,,,WorkOrders/WORK_ORDER_134_input_hud_reward_consistency.md,,spec Status: READY TO IMPLEMENT
135,P1 Bug Triage Fixes,Ready,fix,,,,WorkOrders/WORK_ORDER_135_p1_bug_triage_fixes.md,,spec Status: READY TO IMPLEMENT
136,Castle Structure Ramparts,Ready,feature,,,,WorkOrders/WORK_ORDER_136_castle_structure_ramparts.md,,spec Status: READY TO IMPLEMENT
136,Remove Kaykit Buildings Markers,Spec,feature,,,,WorkOrders/WORK_ORDER_136_remove_kaykit_buildings_markers.md,,no Status line in spec
136,Strip Wall Perimeter For Handdesign,Spec,feature,,,,WorkOrders/WORK_ORDER_136_strip_wall_perimeter_for_handdesign.md,,no Status line in spec
137,Castle Rampart Rebake,Ready,feature,,,,WorkOrders/WORK_ORDER_137_castle_rampart_rebake.md,,spec Status: READY TO IMPLEMENT
137,Catalog Data Model And Defensive Content,Ready,docs,,,,WorkOrders/WORK_ORDER_137_catalog_data_model_and_defensive_content.md,,spec Status: READY TO IMPLEMENT
138,Animated Object Factory,Spec,feature,,,,WorkOrders/WORK_ORDER_138_animated_object_factory.md,,no Status line in spec
138,Cc5 Character Pipeline First Hero,Ready,feature,,,,WorkOrders/WORK_ORDER_138_cc5_character_pipeline_first_hero.md,,spec Status: READY TO IMPLEMENT
139,Pipeline Bug Triage,Spec,fix,,,,WorkOrders/WORK_ORDER_139_pipeline_bug_triage.md,,spec Status: TRIAGE - fixes staged for deliberate application (NOT blind-patched)
140,Hero Animator Factory,Ready,feature,,,,WorkOrders/WORK_ORDER_140_hero_animator_factory.md,,spec Status: READY TO IMPLEMENT
141,Harvestable Resource Nodes,Ready,feature,,,,WorkOrders/WORK_ORDER_141_harvestable_resource_nodes.md,,spec Status: READY TO IMPLEMENT
142,Outer World Regions,Ready,feature,,,,WorkOrders/WORK_ORDER_142_outer_world_regions.md,,spec Status: READY TO IMPLEMENT
143,Roaming Raids,Ready,feature,,,,WorkOrders/WORK_ORDER_143_roaming_raids.md,,spec Status: READY TO IMPLEMENT
144,Regional Crystal Subtypes,Ready,feature,,,,WorkOrders/WORK_ORDER_144_regional_crystal_subtypes.md,,spec Status: READY TO IMPLEMENT
145,Advanced Enemy Tactics,Ready,feature,,,,WorkOrders/WORK_ORDER_145_advanced_enemy_tactics.md,,spec Status: READY TO IMPLEMENT
146,Formation Movement,Ready,feature,,,,WorkOrders/WORK_ORDER_146_formation_movement.md,,spec Status: READY TO IMPLEMENT
147,Situational Awareness Perception,Ready,feature,,,,WorkOrders/WORK_ORDER_147_situational_awareness_perception.md,,spec Status: READY TO IMPLEMENT
148,Catalog Structure Factory,Ready,docs,,,,WorkOrders/WORK_ORDER_148_catalog_structure_factory.md,,spec Status: READY TO IMPLEMENT
149,Catalog Base Persistence,Ready,docs,,,,WorkOrders/WORK_ORDER_149_catalog_base_persistence.md,,spec Status: READY TO IMPLEMENT
150,Skip Deleted Generators,Ready,fix,,,,WorkOrders/WORK_ORDER_150_skip_deleted_generators.md,,spec Status: READY TO IMPLEMENT
151,Village Progression Crafting,Ready,feature,,,,WorkOrders/WORK_ORDER_151_village_progression_crafting.md,,spec Status: READY TO IMPLEMENT
152,City Ui Information Architecture,Ready,feature,,,,WorkOrders/WORK_ORDER_152_city_ui_information_architecture.md,,spec Status: READY TO IMPLEMENT (IA decision locked; panel wiring phased)
152,Full City Redesign Component Catalog,Spec,docs,,,,WorkOrders/WORK_ORDER_152_full_city_redesign_component_catalog.md,,spec Status: DRAFT - sequenced AFTER WO-151
153,World Crystal Mine,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_153_world_crystal_mine.md,WorkOrders/WORK_ORDER_153_world_crystal_mine.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
154,Rare Timed Crystal Spawns,Ready,feature,,,,WorkOrders/WORK_ORDER_154_rare_timed_crystal_spawns.md,,spec Status: READY TO IMPLEMENT
155,Region Enemy Spawning,Ready,feature,,,,WorkOrders/WORK_ORDER_155_region_enemy_spawning.md,,spec Status: READY TO IMPLEMENT (phased)
156,Camera Pivot High Walls,Ready,feature,,,,WorkOrders/WORK_ORDER_156_camera_pivot_high_walls.md,,spec Status: READY TO IMPLEMENT
157,Strip Crystal Veins,Ready,fix,,,,WorkOrders/WORK_ORDER_157_strip_crystal_veins.md,,spec Status: READY TO IMPLEMENT
158,Gates Impassable Cannot Exit,Ready,feature,,,,WorkOrders/WORK_ORDER_158_gates_impassable_cannot_exit.md,,spec Status: READY TO IMPLEMENT
159,Add Mining Nodes,Spec,feature,,,,WorkOrders/WORK_ORDER_159_add_mining_nodes.md,,no Status line in spec
159,Node Settlements Harvest Defend,Ready,feature,,,,WorkOrders/WORK_ORDER_159_node_settlements_harvest_defend.md,,spec Status: READY TO IMPLEMENT (phased)
160,Wandering Tribes,Ready,feature,,,,WorkOrders/WORK_ORDER_160_wandering_tribes.md,,spec Status: READY TO IMPLEMENT (phased)
161,Player Home Interior,Spec,feature,,,,WorkOrders/WORK_ORDER_161_player_home_interior.md,,spec Status: DRAFT - feasibility + design captured; build when prioritized
162,Player Music Selection,Ready,feature,,,,WorkOrders/WORK_ORDER_162_player_music_selection.md,,spec Status: READY TO IMPLEMENT
163,Console Error Triage,Ready,fix,,,,WorkOrders/WORK_ORDER_163_console_error_triage.md,,spec Status: READY TO IMPLEMENT
164,Zone Foundation Threatlevel,Ready,feature,,,,WorkOrders/WORK_ORDER_164_zone_foundation_threatlevel.md,,spec Status: READY TO IMPLEMENT
165,Dungeon World Portals,Ready,feature,,,,WorkOrders/WORK_ORDER_165_dungeon_world_portals.md,,spec Status: READY TO IMPLEMENT (phased)
166,Playtest Regressions Gates Anim Pet,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_166_playtest_regressions_gates_anim_pet.md,WorkOrders/WORK_ORDER_166_playtest_regressions_gates_anim_pet.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT
167,Gatehouse Pillar Clipping,Ready,fix,,,,WorkOrders/WORK_ORDER_167_gatehouse_pillar_clipping.md,,spec Status: READY TO IMPLEMENT
168,Navmesh Gate Openings,Ready,feature,,,,WorkOrders/WORK_ORDER_168_navmesh_gate_openings.md,,spec Status: READY TO IMPLEMENT
169,Atb Refine Party Hud Dynamic,Ready,feature,,,,WorkOrders/WORK_ORDER_169_atb_refine_party_hud_dynamic.md,,spec Status: READY TO IMPLEMENT (phased)
170,Battle 2D Retro Vfx,Ready,feature,,,,WorkOrders/WORK_ORDER_170_battle_2d_retro_vfx.md,,spec Status: READY TO IMPLEMENT
171,Atb Battle Theme,Ready,feature,,,,WorkOrders/WORK_ORDER_171_atb_battle_theme.md,,spec Status: READY TO IMPLEMENT - quick win
172,Build Times And Ad Speedup,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_172_build_times_and_ad_speedup.md,WorkOrders/WORK_ORDER_172_build_times_and_ad_speedup.RESULT.md,RESULT filed; spec Status: READY TO IMPLEMENT (phased)
173,World Void Terrain Missing,Ready,fix,,,,WorkOrders/WORK_ORDER_173_world_void_terrain_missing.md,,spec Status: READY TO IMPLEMENT -  P0 BLOCKER (owner-flagged 2026-05-31)
